<story>Justice|Pennsylvania-sex-offender-released</story>
<start>20080815140632.5571634890814
<end>20080815140736.5881701733438
George Fagely | served | more than years 
He | wo nt have to check | police 
He | wo nt be | parole 
he | wo nt have to register | a sex offender 
we | talked | a Harrisburg resident angry 
COLLINS Yes . | s sealed | stone 
they | abuse | children 
The federal statute | does nt say | anything 
They | have | scars 
they | have | trouble 
They | have | trouble 
They | have | trouble 
Annette Antoun | talking | the victims of Fagely 
the founder of a religion | advocates using | children 
